66,1,7
66,2,3
66,3,4
66,4,4
66,5,4
66,6,2
66,7,2
66,8,4
88,1,12
88,2,5
88,3,4
88,4,4
88,5,4
88,6,3
88,7,4
88,8,4
110,1,20
110,2,9
110,3,6
110,4,4
110,5,6
110,6,4
110,7,3
110,8,11
132,1,17
132,2,9
132,3,6
132,4,5
132,5,6
132,6,7
132,7,6
132,8,6
154,1,20
154,2,12
154,3,9
154,4,7
154,5,5
154,6,6
154,7,7
154,8,8
176,1,18
176,2,12
176,3,9
176,4,8
176,5,7
176,6,6
176,7,4
176,8,12
198,1,22
198,2,12
198,3,12
198,4,11
198,5,6
198,6,8
198,7,7
198,8,6
220,1,32
220,2,14
220,3,12
220,4,9
220,5,7
220,6,8
220,7,7
220,8,8
242,1,31
242,2,21
242,3,13
242,4,10
242,5,11
242,6,8
242,7,13
242,8,14
264,1,31
264,2,19
264,3,12
264,4,11
264,5,10
264,6,10
264,7,11
264,8,12
286,1,47
286,2,16
286,3,12
286,4,14
286,5,17
286,6,11
286,7,10
286,8,14
308,1,48
308,2,29
308,3,22
308,4,24
308,5,23
308,6,22
308,7,23
308,8,12
330,1,34
330,2,25
330,3,17
330,4,13
330,5,14
330,6,20
330,7,16
330,8,12
352,1,39
352,2,27
352,3,21
352,4,19
352,5,15
352,6,14
352,7,20
352,8,12
374,1,41
374,2,23
374,3,21
374,4,20
374,5,19
374,6,14
374,7,17
374,8,13
396,1,46
396,2,24
396,3,20
396,4,22
396,5,17
396,6,19
396,7,16
396,8,17
418,1,52
418,2,27
418,3,23
418,4,23
418,5,21
418,6,22
418,7,15
418,8,15
440,1,52
440,2,30
440,3,24
440,4,23
440,5,22
440,6,15
440,7,17
440,8,17
462,1,49
462,2,32
462,3,27
462,4,24
462,5,24
462,6,17
462,7,17
462,8,19
484,1,55
484,2,30
484,3,31
484,4,38
484,5,35
484,6,45
484,7,19
484,8,27
506,1,57
506,2,36
506,3,33
506,4,24
506,5,18
506,6,19
506,7,21
506,8,16
528,1,61
528,2,48
528,3,34
528,4,25
528,5,21
528,6,19
528,7,25
528,8,17
550,1,63
550,2,43
550,3,33
550,4,25
550,5,22
550,6,16
550,7,24
550,8,21
572,1,59
572,2,52
572,3,37
572,4,25
572,5,23
572,6,29
572,7,25
572,8,20
594,1,70
594,2,47
594,3,34
594,4,25
594,5,22
594,6,22
594,7,21
594,8,21
616,1,70
616,2,61
616,3,36
616,4,26
616,5,28
616,6,28
616,7,25
616,8,25
638,1,68
638,2,53
638,3,31
638,4,27
638,5,26
638,6,24
638,7,31
638,8,37
660,1,97
660,2,41
660,3,39
660,4,25
660,5,26
660,6,24
660,7,20
660,8,24
682,1,88
682,2,53
682,3,36
682,4,29
682,5,30
682,6,29
682,7,26
682,8,27
704,1,73
704,2,57
704,3,38
704,4,30
704,5,28
704,6,31
704,7,28
704,8,28
726,1,107
726,2,47
726,3,45
726,4,35
726,5,28
726,6,26
726,7,25
726,8,29
748,1,103
748,2,55
748,3,37
748,4,33
748,5,37
748,6,32
748,7,27
748,8,25
770,1,85
770,2,55
770,3,36
770,4,33
770,5,38
770,6,29
770,7,28
770,8,28
792,1,95
792,2,61
792,3,40
792,4,31
792,5,34
792,6,36
792,7,30
792,8,26
814,1,108
814,2,53
814,3,45
814,4,36
814,5,35
814,6,28
814,7,33
814,8,29
836,1,108
836,2,51
836,3,39
836,4,36
836,5,33
836,6,36
836,7,35
836,8,33
858,1,114
858,2,57
858,3,40
858,4,37
858,5,34
858,6,36
858,7,28
858,8,30
880,1,139
880,2,55
880,3,45
880,4,38
880,5,39
880,6,30
880,7,32
880,8,27
902,1,114
902,2,58
902,3,40
902,4,39
902,5,44
902,6,37
902,7,31
902,8,30
924,1,116
924,2,54
924,3,49
924,4,46
924,5,90
924,6,38
924,7,49
924,8,39
946,1,115
946,2,56
946,3,43
946,4,41
946,5,50
946,6,35
946,7,43
946,8,34
968,1,122
968,2,74
968,3,50
968,4,44
968,5,42
968,6,38
968,7,32
968,8,34
990,1,124
990,2,73
990,3,47
990,4,47
990,5,47
990,6,34
990,7,44
990,8,41
1012,1,114
1012,2,64
1012,3,56
1012,4,47
1012,5,45
1012,6,39
1012,7,33
1012,8,33
66,1,6
66,2,6
66,3,5
66,4,3
66,5,4
66,6,2
66,7,2
66,8,3
88,1,11
88,2,4
88,3,4
88,4,3
88,5,3
88,6,4
88,7,2
88,8,3
110,1,17
110,2,8
110,3,6
110,4,6
110,5,8
110,6,7
110,7,5
110,8,6
132,1,20
132,2,13
132,3,10
132,4,8
132,5,7
132,6,9
132,7,9
132,8,5
154,1,25
154,2,13
154,3,8
154,4,11
154,5,7
154,6,7
154,7,14
154,8,7
176,1,21
176,2,19
176,3,9
176,4,9
176,5,8
176,6,6
176,7,7
176,8,6
198,1,21
198,2,11
198,3,10
198,4,15
198,5,9
198,6,9
198,7,21
198,8,9
220,1,26
220,2,16
220,3,11
220,4,9
220,5,12
220,6,8
220,7,8
220,8,7
242,1,34
242,2,16
242,3,16
242,4,10
242,5,9
242,6,8
242,7,12
242,8,11
264,1,28
264,2,19
264,3,11
264,4,9
264,5,12
264,6,10
264,7,12
264,8,16
286,1,33
286,2,26
286,3,15
286,4,13
286,5,20
286,6,12
286,7,14
286,8,11
308,1,35
308,2,21
308,3,14
308,4,13
308,5,16
308,6,13
308,7,14
308,8,16
330,1,39
330,2,26
330,3,15
330,4,16
330,5,21
330,6,13
330,7,15
330,8,14
352,1,38
352,2,22
352,3,18
352,4,15
352,5,20
352,6,22
352,7,15
352,8,13
374,1,39
374,2,34
374,3,15
374,4,26
374,5,15
374,6,16
374,7,17
374,8,12
396,1,43
396,2,24
396,3,21
396,4,17
396,5,18
396,6,15
396,7,17
396,8,14
418,1,49
418,2,34
418,3,23
418,4,21
418,5,18
418,6,15
418,7,22
418,8,15
440,1,50
440,2,27
440,3,29
440,4,22
440,5,22
440,6,15
440,7,18
440,8,18
462,1,54
462,2,28
462,3,32
462,4,20
462,5,22
462,6,16
462,7,16
462,8,16
484,1,52
484,2,33
484,3,32
484,4,21
484,5,20
484,6,17
484,7,15
484,8,18
506,1,57
506,2,32
506,3,35
506,4,24
506,5,18
506,6,20
506,7,21
506,8,16
528,1,59
528,2,37
528,3,32
528,4,27
528,5,22
528,6,17
528,7,21
528,8,16
550,1,60
550,2,43
550,3,31
550,4,23
550,5,22
550,6,21
550,7,17
550,8,22
572,1,62
572,2,41
572,3,34
572,4,28
572,5,24
572,6,22
572,7,19
572,8,22
594,1,109
594,2,75
594,3,44
594,4,35
594,5,34
594,6,24
594,7,19
594,8,23
616,1,65
616,2,43
616,3,44
616,4,22
616,5,23
616,6,25
616,7,19
616,8,19
638,1,73
638,2,46
638,3,33
638,4,27
638,5,25
638,6,22
638,7,20
638,8,24
660,1,74
660,2,53
660,3,32
660,4,29
660,5,25
660,6,28
660,7,28
660,8,21
682,1,77
682,2,57
682,3,36
682,4,27
682,5,28
682,6,28
682,7,27
682,8,31
704,1,76
704,2,48
704,3,39
704,4,30
704,5,26
704,6,31
704,7,25
704,8,20
726,1,94
726,2,63
726,3,42
726,4,32
726,5,32
726,6,27
726,7,24
726,8,25
748,1,92
748,2,48
748,3,41
748,4,32
748,5,29
748,6,24
748,7,29
748,8,24
770,1,101
770,2,66
770,3,38
770,4,37
770,5,34
770,6,32
770,7,28
770,8,27
792,1,99
792,2,56
792,3,36
792,4,29
792,5,38
792,6,33
792,7,27
792,8,28
814,1,99
814,2,54
814,3,38
814,4,30
814,5,43
814,6,33
814,7,33
814,8,30
836,1,106
836,2,81
836,3,57
836,4,51
836,5,39
836,6,32
836,7,33
836,8,26
858,1,114
858,2,51
858,3,45
858,4,39
858,5,37
858,6,37
858,7,33
858,8,29
880,1,119
880,2,55
880,3,41
880,4,40
880,5,43
880,6,33
880,7,32
880,8,25
902,1,111
902,2,57
902,3,49
902,4,42
902,5,37
902,6,33
902,7,32
902,8,25
924,1,116
924,2,71
924,3,50
924,4,48
924,5,89
924,6,45
924,7,34
924,8,33
946,1,116
946,2,59
946,3,50
946,4,47
946,5,38
946,6,35
946,7,31
946,8,32
968,1,110
968,2,61
968,3,51
968,4,44
968,5,42
968,6,31
968,7,34
968,8,32
990,1,121
990,2,56
990,3,55
990,4,46
990,5,37
990,6,38
990,7,36
990,8,33
1012,1,114
1012,2,67
1012,3,49
1012,4,54
1012,5,38
1012,6,42
1012,7,50
